Time_relative,compass
22.768,326.73734
22.788,326.40817
22.809,326.63376
22.828,327.52347
22.848,328.22214
22.868,328.4268
22.889,328.06662
22.908,328.13077
22.929,327.871
22.948,327.35123
22.968,327.05994
22.988,326.69257
23.008,327.47052
23.028,327.4652
23.048,326.3397
23.068,325.08755
23.089,323.24545
23.108,321.62778
23.128,321.23282
23.148,320.35193
23.168,319.6587
23.188,319.38995
23.208,319.368
23.228,318.77695
23.248,317.23184
23.268,316.24127
23.288,316.1537
23.308,315.37344
23.329,313.928
23.348,312.22992
23.368,310.24097
23.389,309.028
23.409,308.47806
23.428,308.52704
23.448,308.35068
23.468,307.23428
23.488,305.91846
23.508,304.97375
23.528,304.03766
23.548,302.5779
23.568,301.1051
23.589,299.5119
23.608,299.30002
23.628,298.63934
23.648,298.12283
23.668,298.5678
23.689,300.01907
23.709,301.216
23.729,302.73657
23.749,304.43158
23.768,306.10715
23.789,308.6267
23.809,311.71658
23.829,314.05704
23.848,314.58017
23.868,313.24802
23.888,312.79962
23.909,312.97046
23.929,312.08344
23.949,310.7081
23.968,309.46472
23.989,307.83258
24.008,306.219
24.029,305.55127
24.049,306.02435
24.069,307.59894
24.089,310.02878
24.109,313.24588
24.128,316.68707
24.149,319.6057
24.168,322.53558
24.189,325.4471
24.208,327.06738
24.228,329.03775
24.249,330.7639
24.275,330.03665
24.292,327.33987
24.308,324.4901
24.329,322.03076
24.35,320.90457
24.369,319.41513
24.388,317.17358
24.408,315.96524
24.433,315.41937
24.448,316.70312
24.468,321.0646
24.488,324.04718
24.51,325.73267
24.529,326.4406
24.548,327.06882
24.568,328.675
24.59,330.789
24.609,332.62866
24.629,334.18515
24.648,334.76
24.669,336.70975
24.689,337.5962
24.708,338.52573
24.728,338.79172
24.749,338.85718
24.768,339.46887
24.788,341.2947
24.809,342.82974
24.829,344.46088
24.849,346.2331
24.869,348.0963
24.889,349.64227
24.909,351.65726
24.93,353.26352
24.948,354.14777
24.968,354.3695
24.989,354.57257
25.009,354.4504
25.028,353.7579
25.049,353.7858
25.069,354.06238
25.088,353.83237
25.109,353.60382
25.128,353.19897
25.149,353.14764
25.169,354.0401
25.189,353.0218
25.209,351.83768
25.228,352.26343
25.249,353.19797
25.269,354.0183
25.289,353.7845
25.309,354.50143
25.328,356.61594
25.348,358.25882
25.369,359.19162
25.389,0.32754517
25.41,1.3175659
25.428,1.8806458
25.449,3.1236572
25.468,3.473938
25.489,4.361908
25.508,5.4817505
25.528,6.9720154
25.549,8.207184
25.569,8.553589
25.589,9.673187
25.608,10.935944
25.629,11.902832
25.649,12.746735
25.669,12.881195
25.689,13.470154
25.709,13.862915
25.73,14.058228
25.748,14.333923
25.769,13.866333
25.788,13.532257
25.811,13.671875
25.828,14.026459
25.849,14.040009
25.869,14.437805
25.89,15.01123
25.909,15.981171
25.929,17.121552
25.949,18.028564
25.97,18.6604
25.988,18.855652
26.009,18.912323
26.028,18.676422
26.051,18.35553
26.068,18.079315
26.089,16.83316
26.108,15.55835
26.129,15.875763
26.149,15.3003235
26.169,14.402252
26.188,14.458984
26.208,14.427063
26.228,15.151337
26.248,15.886902
26.269,15.138611
26.293,15.170563
26.309,15.775635
26.328,14.138397
26.348,12.635498
26.369,12.1936035
26.389,10.478943
26.408,8.526672
26.428,7.0639954
26.448,5.1389465
26.468,4.2758484
26.488,4.418152
26.509,2.0319214
26.528,359.10873
26.549,358.18707
26.57,356.3906
26.589,356.24622
26.609,356.5223
26.629,355.5027
26.649,356.29736
26.669,357.48694
26.688,358.75867
26.708,0.18591309
