Time (s),Original_Heading,Corrected_Heading,Original_East,Original_North,Corrected_East,Corrected_North
132.35,306.74,306.74,836540.0912961656,818661.0142264647,836539.6678025412,818656.3393758174
132.36,306.69,306.69,836540.086741562,818661.0176201247,836539.6632479376,818656.3427694775
132.37,306.68,306.68,836540.0821863646,818661.0210129911,836539.6586927403,818656.3461623437
132.39,306.7,306.7,836540.0730783411,818661.0278019027,836539.6495847167,818656.3529512555
132.39,306.74,306.74,836540.0685267005,818661.0311995377,836539.645033076,818656.3563488905
132.41,306.81,306.81,836540.0594317266,818661.0380059223,836539.6359381021,818656.3631552751
132.42,306.97,306.97,836540.0548937618,818661.0414217998,836539.6314001373,818656.3665711526
132.42,307.03,307.03,836540.050359376,818661.0448424277,836539.6268657516,818656.3699917805
132.43,307.07,307.07,836540.0458273797,818661.0482662206,836539.6223337553,818656.3734155734
132.44,307.07,307.07,836540.0412953832,818661.0516900135,836539.6178017588,818656.3768393663
132.45,307.04,307.04,836540.0367615954,818661.0551114333,836539.613267971,818656.380260786
132.46,306.98,306.98,836540.0322242264,818661.0585281044,836539.608730602,818656.3836774572
132.47,306.83,306.83,836540.0276779281,818661.0619328853,836539.6041843037,818656.3870822381
132.48,306.75,306.75,836540.0231268792,818661.065331314,836539.5996332549,818656.3904806668
132.49,306.69,290.8,836540.0185722756,818661.0687249741,836539.5943235307,818656.3924976423
132.5,306.64,290.75,836540.0140147111,818661.0721146592,836539.5890120493,818656.3945099826
132.51,306.61,292.4855555555556,836540.0094553733,818661.0755019571,836539.5837639499,818656.3966822658
132.52,306.54,294.18111111111114,836540.0048919008,818661.0788836824,836539.5785824241,818656.3990088832
132.53,306.52,295.9266666666667,836540.000327247,818661.082263814,836539.5734741732,818656.4014922542
132.54,306.5,297.6722222222222,836539.9957614135,818661.0856423521,836539.5684439398,818656.4041300766
132.55,306.51,299.4477777777778,836539.9911961698,818661.089021688,836539.5634978516,818656.4069224896
132.56,306.54,301.24333333333334,836539.9866326974,818661.0924034133,836539.5586416873,818656.4098685096
132.57,306.61,303.0788888888889,836539.9820733595,818661.0957907111,836539.5538823787,818656.4129685649
132.58,306.65,304.8844444444444,836539.9775163868,818661.0991811921,836539.549223109,818656.4162170363
132.59,306.68,306.68,836539.9729611893,818661.1025740583,836539.5446679116,818656.4196099027
132.6,306.71,306.71,836539.9684077693,818661.10596931,836539.5401144916,818656.4230051542
132.61,306.74,306.74,836539.9638561287,818661.109366945,836539.535562851,818656.4264027892
132.62,306.81,306.81,836539.9593086428,818661.1127701383,836539.5310153652,818656.4298059825
132.63,306.84,306.84,836539.9547629383,818661.1161757109,836539.5264696606,818656.4332115551
132.64,306.87,306.87,836539.9502190172,818661.1195836648,836539.5219257396,818656.4366195091
132.65,306.9,306.9,836539.9456768817,818661.122993996,836539.517383604,818656.4400298402
132.66,306.92,306.92,836539.9411359377,818661.1264059127,836539.5128426601,818656.443441757
132.67,306.96,306.96,836539.9365973772,818661.1298209984,836539.5083040994,818656.4468568427
132.68,306.97,306.97,836539.9320594124,818661.1332368759,836539.5037661346,818656.4502727201
132.69,306.97,306.97,836539.9275214475,818661.1366527533,836539.4992281699,818656.4536885975
132.7,306.96,306.96,836539.922982887,818661.1400678391,836539.4946896093,818656.4571036833
132.71,306.94,306.94,836539.9184431327,818661.1434813412,836539.4901498549,818656.4605171855
132.72,306.93,306.93,836539.9139027846,818661.1468940517,836539.4856095068,818656.463929896
132.73,306.89,306.89,836539.9093600531,818661.1503035912,836539.4810667754,818656.4673394354
132.74,306.87,306.87,836539.9048161322,818661.153711545,836539.4765228544,818656.4707473894
132.75,306.85,306.85,836539.9002710234,818661.1571179115,836539.4719777458,818656.4741537557
132.76,306.85,306.85,836539.8957259147,818661.1605242778,836539.467432637,818656.477560122
132.77,306.87,306.87,836539.8911819936,818661.1639322317,836539.462888716,818656.480968076
132.78,306.96,306.96,836539.8866434331,818661.1673473174,836539.4583501554,818656.4843831618
132.79,307.04,307.04,836539.8821096452,818661.1707687371,836539.4538163674,818656.4878045814
132.8,307.14,307.14,836539.8775818357,818661.1741980641,836539.4492885581,818656.4912339085
132.81,307.26,307.26,836539.8730612167,818661.177636868,836539.444767939,818656.4946727122
132.82,307.37,307.37,836539.8685472084,818661.1810843446,836539.4402539306,818656.4981201888
132.83,307.55,307.55,836539.8640440542,818661.1845459838,836539.4357507764,818656.5015818281
132.84,307.6,307.6,836539.8595439215,818661.1880115515,836539.4312506439,818656.5050473957
132.85,307.61,307.61,836539.855044395,818661.1914779048,836539.4267511172,818656.5085137491
132.86,307.58,307.58,836539.8505430524,818661.1949419031,836539.4222497748,818656.5119777474
132.87,307.53,307.53,836539.8460386905,818661.198401971,836539.4177454128,818656.5154378152
132.88,307.4,307.4,836539.8415264878,818661.2018518108,836539.4132332101,818656.518887655
132.89,307.36,307.36,836539.8370118776,818661.2052984997,836539.4087185998,818656.522334344
132.9,307.38,307.38,836539.832498471,818661.208746764,836539.4042051933,818656.5257826083
132.91,307.45,307.45,836539.8279892819,818661.2122005383,836539.3996960041,818656.5292363826
132.92,307.55,307.55,836539.8234861277,818661.2156621775,836539.3951928499,818656.5326980217
132.93,307.7,307.7,836539.8189920504,818661.219135594,836539.3906987726,818656.5361714382
132.94,307.71,307.71,836539.8144985789,818661.2226097961,836539.3862053012,818656.5396456404
132.95,307.69,307.69,836539.8100038957,818661.2260824289,836539.3817106179,818656.5431182731
132.96,307.64,307.64,836539.8055061847,818661.2295511373,836539.377212907,818656.5465869815
132.97,307.61,307.61,836539.801006658,818661.2330174906,836539.3727133804,818656.5500533349
132.98,307.61,307.61,836539.7965071314,818661.236483844,836539.3682138537,818656.5535196882
132.99,307.67,307.67,836539.7920112362,818661.2399549074,836539.3637179586,818656.5569907516
133.0,307.74,307.74,836539.7875195846,818661.2434314606,836539.3592263069,818656.5604673048
133.01,307.82,307.82,836539.7830327925,818661.246914283,836539.3547395149,818656.5639501273
133.02,307.91,307.91,836539.7785514761,818661.2504041485,836539.3502581983,818656.5674399927
133.03,307.99,307.99,836539.7740750373,818661.2539002671,836539.3457817596,818656.5709361113
133.04,308.14,308.14,836539.7696077662,818661.2574080942,836539.3413144886,818656.5744439384
133.05,308.2,308.2,836539.7651441712,818661.2609205971,836539.3368508935,818656.5779564413
133.06,308.24,308.24,836539.7606830301,818661.2644362145,836539.3323897524,818656.5814720588
133.07,308.26,308.26,836539.756223115,818661.2679533891,836539.3279298373,818656.5849892333
133.08,308.27,308.27,836539.7517638139,818661.2714713434,836539.3234705362,818656.5885071876
133.09,308.3,308.3,836539.7473063569,818661.2749916305,836539.3190130792,818656.5920274747
133.1,308.33,308.33,836539.7428507439,818661.2785142523,836539.3145574662,818656.5955500966
133.11,308.39,308.39,836539.738398821,818661.2820415379,836539.3101055434,818656.5990773821
133.12,308.46,308.46,836539.7339512103,818661.2855742606,836539.3056579327,818656.6026101048
133.13,308.57,308.57,836539.7295103901,818661.2891155148,836539.3012171123,818656.6061513592
133.14,308.82,308.82,836539.7250850655,818661.2926761124,836539.2967917877,818656.6097119566
133.15,308.97,308.97,836539.7206690762,818661.2962482831,836539.2923757985,818656.6132841273
133.16,309.13,309.13,836539.7162630807,818661.2998327704,836539.287969803,818656.6168686146
133.17,309.3,309.3,836539.7118677394,818661.3034303153,836539.2835744617,818656.6204661597
133.18,309.49,309.49,836539.7074843532,818661.3070424168,836539.2791910755,818656.6240782611
133.19,309.87,309.87,836539.7031250183,818661.3106835099,836539.2748317405,818656.6277193542
133.2,310.07,310.07,836539.69877842,818661.3143397977,836539.2704851422,818656.631375642
133.21,310.28,310.28,836539.694445251,818661.3180119912,836539.2661519733,818656.6350478354
133.22,310.5,310.5,836539.6901262144,818661.3217007972,836539.2618329367,818656.6387366414
133.23,310.74,310.74,836539.6858226673,818661.3254076618,836539.2575293896,818656.6424435062
133.24,311.02,311.02,836539.681537288,818661.3291355139,836539.2532440104,818656.6461713582
133.25,311.65,311.65,836539.6772931564,818661.3329102588,836539.2489998786,818656.649946103
133.26,311.97,311.97,836539.6730701736,818661.3367086491,836539.2447768959,818656.6537444933
133.27,312.29,312.29,836539.6688684691,818661.3405305655,836539.2405751913,818656.6575664097
133.28,312.59,312.59,836539.6646868349,818661.3443744286,836539.2363935572,818656.6614102728
133.29,312.88,312.88,836539.6605247096,818661.3482394085,836539.2322314319,818656.6652752527
133.3,313.44,313.44,836539.6564005578,818661.3521448824,836539.2281072801,818656.6691807267
133.31,313.73,313.73,836539.652296226,818661.3560711802,836539.2240029484,818656.6731070245
133.32,314.07,314.07,836539.6482152649,818661.3600217657,836539.2199219872,818656.6770576099
133.33,314.45,314.45,836539.644160595,818661.363999329,836539.2158673174,818656.6810351734
133.34,314.86,314.86,836539.6401344928,818661.3680058053,836539.211841215,818656.6850416496
133.35,315.72,315.72,836539.6361689772,818661.3720722585,836539.2078756995,818656.6891081028
133.36,316.16,316.16,836539.6322348064,818661.3761690445,836539.2039415287,818656.6932048887
133.37,316.58,316.58,836539.6283307725,818661.3802945595,836539.2000374948,818656.6973304038
133.38,316.99,316.99,836539.6244563604,818661.3844479049,836539.1961630826,818656.7014837492
133.39,317.4,317.4,836539.6206117681,818661.3886288685,836539.1923184904,818656.7056647128
133.4,318.25,318.25,836539.6168296208,818661.3928664057,836539.188536343,818656.70990225
133.42,318.69,318.69,836539.6093306332,818661.40139932,836539.1810373554,818656.7184351643
133.43,319.16,319.16,836539.605616263,818661.4056963897,836539.1773229854,818656.7227322339
133.43,319.67,319.67,836539.6019402886,818661.4100263512,836539.1736470109,818656.7270621954
133.44,320.21,320.21,836539.5983052851,818661.4143907658,836539.1700120074,818656.7314266101
133.45,321.33,321.33,836539.5947562851,818661.4188253975,836539.1664630073,818656.7358612418
133.46,321.89,321.89,836539.5912507988,818661.4232945045,836539.162957521,818656.7403303488
133.47,322.42,322.42,836539.5877868005,818661.427795847,836539.1594935227,818656.7448316913
