Time (s),Original_Heading,Improved_Heading,Original_East,Original_North,Improved_East,Improved_North
40.62,5.92,5.92,836560.8963988979,818627.6412372465,836560.8963988979,818627.6412372465
40.63,5.93,5.93,836560.8969857077,818627.6468867614,836560.8969857077,818627.6468867614
40.64,5.94,5.94,836560.8975735031,818627.6525361735,836560.8975735031,818627.6525361735
40.65,5.94,5.94,836560.8981612985,818627.6581855854,836560.8981612985,818627.6581855854
40.66,5.95,5.95,836560.8987500817,818627.6638348944,836560.8987500817,818627.6638348944
40.67,5.94,5.94,836560.899337877,818627.6694843064,836560.899337877,818627.6694843064
40.68,5.93,5.93,836560.8999246868,818627.6751338214,836560.8999246868,818627.6751338214
40.69,5.89,5.89,836560.900507552,818627.6807837444,836560.900507552,818627.6807837444
40.7,5.88,5.88,836560.9010894315,818627.6864337684,836560.9010894315,818627.6864337684
40.71,5.87,5.87,836560.9016703254,818627.6920838933,836560.9016703254,818627.6920838933
40.72,5.87,5.87,836560.9022512193,818627.6977340183,836560.9022512193,818627.6977340183
40.73,5.87,5.87,836560.9028321132,818627.7033841433,836560.9028321132,818627.7033841433
40.74,5.88,5.88,836560.9034139927,818627.7090341672,836560.9034139927,818627.7090341672
40.75,5.88,5.88,836560.9039958722,818627.7146841913,836560.9039958722,818627.7146841913
40.76,5.89,5.89,836560.9045787374,818627.7203341143,836560.9045787374,818627.7203341143
40.77,5.89,5.89,836560.9051616027,818627.7259840373,836560.9051616027,818627.7259840373
40.78,5.89,5.89,836560.9057444679,818627.7316339603,836560.9057444679,818627.7316339603
40.79,5.89,5.89,836560.906327333,818627.7372838833,836560.906327333,818627.7372838833
40.8,5.89,5.89,836560.9069101982,818627.7429338063,836560.9069101982,818627.7429338063
40.81,5.88,5.88,836560.9074920777,818627.7485838302,836560.9074920777,818627.7485838302
40.82,5.88,5.88,836560.9080739572,818627.7542338542,836560.9080739572,818627.7542338542
40.85,5.87,5.87,836560.9098166389,818627.7711842312,836560.9098166389,818627.7711842312
40.85,5.86,5.86,836560.9103965472,818627.7768344571,836560.9103965472,818627.7768344571
40.85,5.86,5.86,836560.9109764554,818627.782484683,836560.9109764554,818627.782484683
40.86,5.86,5.86,836560.9115563637,818627.788134909,836560.9115563637,818627.788134909
40.87,5.87,5.87,836560.9121372575,818627.793785034,836560.9121372575,818627.793785034
40.88,5.88,5.88,836560.912719137,818627.7994350579,836560.912719137,818627.7994350579
40.89,5.91,5.91,836560.9133039756,818627.805084777,836560.9133039756,818627.805084777
40.9,5.92,5.92,836560.9138897997,818627.810734393,836560.9138897997,818627.810734393
40.91,5.93,5.93,836560.9144766094,818627.8163839079,836560.9144766094,818627.8163839079
40.92,5.94,5.94,836560.915064405,818627.8220333199,836560.915064405,818627.8220333199
40.93,5.94,5.94,836560.9156522003,818627.8276827319,836560.9156522003,818627.8276827319
40.94,5.95,5.95,836560.9162409834,818627.8333320409,836560.9162409834,818627.8333320409
40.95,5.96,5.96,836560.9168307522,818627.8389812468,836560.9168307522,818627.8389812468
40.96,5.96,5.96,836560.9174205209,818627.8446304528,836560.9174205209,818627.8446304528
40.97,5.97,5.97,836560.9180112752,818627.8502795558,836560.9180112752,818627.8502795558
40.98,5.97,5.97,836560.9186020297,818627.8559286587,836560.9186020297,818627.8559286587
40.99,5.98,5.98,836560.9191937697,818627.8615776587,836560.9191937697,818627.8615776587
41.0,5.99,5.99,836560.9197864953,818627.8672265557,836560.9197864953,818627.8672265557
41.01,5.99,5.99,836560.920379221,818627.8728754526,836560.920379221,818627.8728754526
41.02,5.99,5.99,836560.9209719467,818627.8785243497,836560.9209719467,818627.8785243497
41.03,5.98,5.98,836560.9215636867,818627.8841733496,836560.9215636867,818627.8841733496
41.04,5.99,5.99,836560.9221564123,818627.8898222465,836560.9221564123,818627.8898222465
41.05,5.98,5.98,836560.9227481523,818627.8954712464,836560.9227481523,818627.8954712464
41.06,5.98,5.98,836560.9233398924,818627.9011202464,836560.9233398924,818627.9011202464
41.07,5.97,5.97,836560.9239306467,818627.9067693494,836560.9239306467,818627.9067693494
41.08,5.97,5.97,836560.9245214011,818627.9124184523,836560.9245214011,818627.9124184523
41.09,5.97,5.97,836560.9251121555,818627.9180675553,836560.9251121555,818627.9180675553
41.1,5.96,5.96,836560.9257019243,818627.9237167613,836560.9257019243,818627.9237167613
41.11,5.95,5.95,836560.9262907073,818627.9293660703,836560.9262907073,818627.9293660703
41.12,5.95,5.95,836560.9268794904,818627.9350153793,836560.9268794904,818627.9350153793
41.13,5.95,5.95,836560.9274682734,818627.9406646882,836560.9274682734,818627.9406646882
41.14,5.95,5.95,836560.9280570565,818627.9463139973,836560.9280570565,818627.9463139973
41.15,5.95,5.95,836560.9286458397,818627.9519633063,836560.9286458397,818627.9519633063
41.16,5.95,5.95,836560.9292346227,818627.9576126152,836560.9292346227,818627.9576126152
41.17,5.95,5.95,836560.9298234058,818627.9632619242,836560.9298234058,818627.9632619242
41.18,5.94,5.94,836560.9304112012,818627.9689113362,836560.9304112012,818627.9689113362
41.19,5.93,5.93,836560.930998011,818627.9745608512,836560.930998011,818627.9745608512
41.2,5.91,5.91,836560.9315828495,818627.9802105702,836560.9315828495,818627.9802105702
41.21,5.87,5.87,836560.9321637434,818627.9858606951,836560.9321637434,818627.9858606951
41.22,5.84,5.84,836560.9327416783,818627.9915111231,836560.9327416783,818627.9915111231
41.23,5.83,5.83,836560.9333186276,818627.9971616521,836560.9333186276,818627.9971616521
41.24,5.82,5.82,836560.9338945913,818628.002812282,836560.9338945913,818628.002812282
41.25,5.82,5.82,836560.9344705549,818628.0084629118,836560.9344705549,818628.0084629118
41.26,5.83,5.83,836560.9350475043,818628.0141134408,836560.9350475043,818628.0141134408
41.27,5.84,5.84,836560.9356254392,818628.0197638687,836560.9356254392,818628.0197638687
41.28,5.83,5.83,836560.9362023885,818628.0254143976,836560.9362023885,818628.0254143976
41.29,5.83,5.83,836560.9367793377,818628.0310649265,836560.9367793377,818628.0310649265
41.3,5.82,5.82,836560.9373553015,818628.0367155564,836560.9373553015,818628.0367155564
41.31,5.79,5.79,836560.937928306,818628.0423664873,836560.937928306,818628.0423664873
41.32,5.77,5.77,836560.9384993375,818628.0480176181,836560.9384993375,818628.0480176181
41.33,5.74,5.74,836560.93906741,818628.0536690479,836560.93906741,818628.0536690479
41.34,5.72,5.72,836560.939633509,818628.0593206756,836560.939633509,818628.0593206756
41.35,5.71,5.71,836560.9401986225,818628.0649724002,836560.9401986225,818628.0649724002
41.36,5.72,5.72,836560.9407647217,818628.0706240279,836560.9407647217,818628.0706240279
