Timestamp_(ms),Type,step,axisZAngle,gyroSumFromstart0,compass,GroundTruth,value_4,value_5,turns,GyroStartByGroundTruth,KalmanFiltered_Heading,EstimatedBias
1740465223476,Gyro,154.5,0.010788561,24.912498,321.94885,0.0,0.0,0.0,6,24.961261589999992,320.98414801054633,0.8941465891927045
1740465223486,Gyro,154.5,0.0062510143,24.906248,322.9403,0.0,0.0,0.0,6,24.955011590000026,321.42687253564526,0.8492945591446033
1740465223496,Gyro,154.5,-1.4390908E-4,24.906391,323.40228,0.0,0.0,0.0,6,24.955154590000006,322.12433405630895,0.7791799988498033
1740465223506,Gyro,154.5,-0.0036051609,24.909996,323.15805,0.0,0.0,0.0,6,24.95875959,322.7129229119844,0.7199440107278321
1740465223516,Gyro,154.5,-7.1732706E-4,24.910713,323.08203,0.0,0.0,0.0,6,24.95947659000001,322.91553499417387,0.6991046265532874
1740465223526,Gyro,154.5,0.0028104226,24.907904,322.9546,0.0,0.0,0.0,6,24.956667589999995,322.98903194428004,0.6911131906248715
1740465223536,Gyro,154.5,0.010732243,24.897171,322.7544,0.0,0.0,0.0,6,24.94593458999998,322.969412597658,0.6923860685775127
1740465223546,Gyro,154.5,0.0030799306,24.89409,322.69083,0.0,0.0,0.0,6,24.942853590000027,322.8659815796178,0.7019746104263226
1740465223562,Gyro,154.5,-0.007996202,24.902086,322.88007,0.0,0.0,0.0,6,24.95084959000002,322.8664348765406,0.7004767801074457
1740465223566,Gyro,154.5,-0.025982967,24.92807,323.11887,0.0,0.0,0.0,6,24.976833590000012,322.8711995683927,0.6998133306879794
1740465223576,Gyro,154.5,-0.040179677,24.96825,323.19974,0.0,0.0,0.0,6,25.017013589999976,322.98209792195297,0.6888775209235157
1740465223586,Gyro,154.5,-0.082127,25.050377,323.71823,0.0,0.0,0.0,6,25.09914058999999,323.07891053957843,0.6788817362548885
1740465223596,Gyro,154.5,-0.029113607,25.07949,324.36606,0.0,0.0,0.0,6,25.128253589999986,323.3716546486563,0.649695833540114
1740465223606,Gyro,154.5,-0.010660822,25.09015,324.12604,0.0,0.0,0.0,6,25.138913590000016,323.82936592714594,0.6040717547664193
1740465223616,Gyro,154.5,0.007501034,25.08265,323.51166,0.0,0.0,0.0,6,25.131413590000022,323.96378032025115,0.5902087226923347
1740465223626,Gyro,154.5,0.021377532,25.061272,322.9484,0.0,0.0,0.0,6,25.110035589999995,323.75101231753445,0.610713348164489
1740465223636,Gyro,154.5,0.06639284,24.994879,322.8915,0.0,0.0,0.0,6,25.04364258999999,323.37579707166293,0.6473800632126278
1740465223646,Gyro,154.5,0.04236604,24.952513,322.54865,0.0,0.0,0.0,6,25.001276589999975,323.14790861207644,0.6693946496469528
1740465223656,Gyro,154.5,0.04995897,24.902554,322.11594,0.0,0.0,0.0,6,24.951317589999974,322.8666168225979,0.6967059647583114
1740465223666,Gyro,154.5,0.04996975,24.852583,321.37604,0.0,0.0,0.0,6,24.901346590000003,322.51494197936455,0.7309855795578417
1740465223676,Gyro,154.5,0.04256331,24.81002,320.92856,0.0,0.0,0.0,6,24.85878359000003,321.98296216269557,0.7831350110887745
1740465223686,Gyro,154.5,0.026729695,24.78329,320.27945,0.0,0.0,0.0,6,24.832053589999987,321.489813707795,0.8313639506948474
1740465223697,Gyro,154.5,0.0012965497,24.781994,319.94586,0.0,0.0,0.0,6,24.83075759000002,320.9234204844648,0.8892703324393726
1740465223706,Gyro,154.5,-0.030394863,24.81239,320.02158,0.0,0.0,0.0,6,24.861153590000015,320.4655553790074,0.93296626202553
1740465223717,Gyro,154.5,-0.052249413,24.86464,320.67734,0.0,0.0,0.0,6,24.91340359000003,320.2537870285114,0.9536162190413562
1740465223727,Gyro,154.5,-0.0656486,24.930288,321.40698,0.0,0.0,0.0,6,24.979051589999983,320.44479955418745,0.9332607800397066
1740465223736,Gyro,154.5,-0.07221736,25.002506,322.4077,0.0,0.0,0.0,6,25.051269590000004,320.8862261865192,0.8901411676053609
